SrcPlate,SrcWell,DesPlate,DesWell,Vol,,DesPlate 1,,,,,,
0509Z3,H5,1,C6,12.048,,,,,,,,
0509Z3,H6,1,C6,10.424,,,,,,,,
0509Z3,H7,1,C6,10.608,,,,,,,,
0509Z3,H8,1,C6,13.01,,,,,,,,
0509Z3,H9,1,C6,9.966,,,,,,,,
0509Z3,H10,1,C6,11.022,,,,,,,,
0509Z3,H10,1,D6,60,,,,,,,,
0509Z3,H9,2,A1,60,,,,,,,,
0509Z3,H9,2,B1,9.966,,,,,,,,
0509Z3,H10,2,B1,11.022,,,,,,,,
0509Z3,H11,2,B1,21.646,,,,,,,,
0509Z3,H12,2,B1,13.624,,,,,,,,
0509Z4,A1,2,B1,9.046,,,,,,,,
0509Z4,A2,2,B1,11.648,,,,,,,,
0509Z4,A3,2,B1,10.028,,,,,,,,
0509Z4,A4,2,B1,8.028,,,,,,,,
0509Z4,A5,2,B1,12.088,,,,,,,,
0509Z4,A6,2,B1,11.68,,,,,,,,
0509Z4,A7,2,B1,15.054,,,,,,,,
0509Z4,A8,2,B1,16.006,,,,,,,,
0509Z4,A8,2,C1,60,,,,,,,,
0509Z4,A9,2,D1,60,,,,,,,,
0509Z4,A9,2,A2,9.794,,,,,,,,
0509Z4,A10,2,A2,8.552,,,,,,,,
0509Z4,A11,2,A2,11.09,,,,,,,,
0509Z4,A12,2,A2,14.434,,,,,,,,
0509Z4,B1,2,A2,18.238,,,,,,,,
0509Z4,B2,2,A2,16.62,,,,,,,,
0509Z4,B3,2,A2,10.31,,,,,,,,
0509Z4,B4,2,A2,10.472,,,,,,,,
0509Z4,B5,2,A2,22.036,,,,,,,,
0509Z4,B6,2,A2,14.15,,,,,,,,
0509Z4,B6,2,B2,60,,,,,,,,
0509Z4,B7,2,C2,60,,,,,,,,
0509Z4,B7,2,D2,22.826,,,,,,,,
0509Z4,B8,2,D2,15.202,,,,,,,,
0509Z4,B9,2,D2,18.692,,,,,,,,
0509Z4,B10,2,D2,14.852,,,,,,,,
0509Z4,B11,2,D2,14.574,,,,,,,,
0509Z4,B12,2,D2,7.61,,,,,,,,
0509Z4,C1,2,D2,17.014,,,,,,,,
0509Z4,C2,2,D2,13.344,,,,,,,,
