primerLabel,srcLabel,srcWell,dstLabel,dstWell,volume,,dst1
610098_1,0509Z3,A01,dst1,A1,80,,,1,2,3,4,5,6,
610098_1,0509Z3,A01,dst1,B1,4,,A,610098_1,610098_15-30,610225_8,610225_15,610225_27-40,610225_52,
610098_2,0509Z3,A02,dst1,B1,3,,B,610098_1-16,610098_30,610225_7,610225_15-28,610225_40,610248_1,
610098_3,0509Z3,A03,dst1,B1,7,,C,610098_16,610225_1,610225_7-16,610225_28,610225_39,610248_1-12,
610098_4,0509Z3,A04,dst1,B1,6,,D,610098_15,610225_1-8,610225_16,610225_27,610225_39-52,610248_12,
610098_5,0509Z3,A05,dst1,B1,4
610098_6,0509Z3,A06,dst1,B1,4
610098_7,0509Z3,A07,dst1,B1,4
610098_8,0509Z3,A08,dst1,B1,5,,dst2
610098_9,0509Z3,A09,dst1,B1,5,,,1,2,3,4,5,6,
610098_10,0509Z3,A10,dst1,B1,5,,A,610248_11,610249_1-10,610250_18,610252_15,610253_1-16,610253_30,
610098_11,0509Z3,A11,dst1,B1,5,,B,610248_11-22,610249_10,610252_1,610252_15-30,610253_16,
610098_12,0509Z3,A12,dst1,B1,5,,C,610248_22,610250_1,610252_1-16,610252_30,610253_15,
610098_13,0509Z3,B01,dst1,B1,6,,D,610249_1,610250_1-18,610252_16,610253_1,610253_15-30,
610098_14,0509Z3,B02,dst1,B1,6
610098_15,0509Z3,B03,dst1,B1,4
610098_16,0509Z3,B04,dst1,B1,4
610098_16,0509Z3,B04,dst1,C1,80
610098_15,0509Z3,B03,dst1,D1,80
610098_15,0509Z3,B03,dst1,A2,4
610098_16,0509Z3,B04,dst1,A2,4
610098_17,0509Z3,B05,dst1,A2,5
610098_18,0509Z3,B06,dst1,A2,5
610098_19,0509Z3,B07,dst1,A2,10
610098_20,0509Z3,B08,dst1,A2,6
610098_21,0509Z3,B09,dst1,A2,6
610098_22,0509Z3,B10,dst1,A2,6
610098_23,0509Z3,B11,dst1,A2,5
610098_24,0509Z3,B12,dst1,A2,7
610098_25,0509Z3,C01,dst1,A2,4
610098_26,0509Z3,C02,dst1,A2,4
610098_27,0509Z3,C03,dst1,A2,7
610098_28,0509Z3,C04,dst1,A2,7
610098_29,0509Z3,C05,dst1,A2,4
610098_30,0509Z3,C06,dst1,A2,5
610098_30,0509Z3,C06,dst1,B2,80
610225_1,0509Z3,C07,dst1,C2,80
610225_1,0509Z3,C07,dst1,D2,6
610225_2,0509Z3,C08,dst1,D2,8
610225_3,0509Z3,C09,dst1,D2,7
610225_4,0509Z3,C10,dst1,D2,6
610225_5,0509Z3,C11,dst1,D2,5
610225_6,0509Z3,C12,dst1,D2,6
610225_7,0509Z3,D01,dst1,D2,8
610225_8,0509Z3,D02,dst1,D2,6
610225_8,0509Z3,D02,dst1,A3,80
610225_7,0509Z3,D01,dst1,B3,80
610225_7,0509Z3,D01,dst1,C3,8
610225_8,0509Z3,D02,dst1,C3,6
610225_9,0509Z3,D03,dst1,C3,5
610225_10,0509Z3,D04,dst1,C3,5
610225_11,0509Z3,D05,dst1,C3,5
610225_12,0509Z3,D06,dst1,C3,5
610225_13,0509Z3,D07,dst1,C3,7
610225_14,0509Z3,D08,dst1,C3,5
610225_15,0509Z3,D09,dst1,C3,7
610225_16,0509Z3,D10,dst1,C3,6
610225_16,0509Z3,D10,dst1,D3,80
610225_15,0509Z3,D09,dst1,A4,80
610225_15,0509Z3,D09,dst1,B4,7
610225_16,0509Z3,D10,dst1,B4,6
610225_17,0509Z3,D11,dst1,B4,8
610225_18,0509Z3,D12,dst1,B4,12
610225_19,0509Z3,E01,dst1,B4,8
610225_20,0509Z3,E02,dst1,B4,3
610225_21,0509Z3,E03,dst1,B4,3
610225_22,0509Z3,E04,dst1,B4,3
610225_23,0509Z3,E05,dst1,B4,5
610225_24,0509Z3,E06,dst1,B4,4
610225_25,0509Z3,E07,dst1,B4,4
610225_26,0509Z3,E08,dst1,B4,4
610225_27,0509Z3,E09,dst1,B4,4
610225_28,0509Z3,E10,dst1,B4,4
610225_28,0509Z3,E10,dst1,C4,80
610225_27,0509Z3,E09,dst1,D4,80
610225_27,0509Z3,E09,dst1,A5,4
610225_28,0509Z3,E10,dst1,A5,4
610225_29,0509Z3,E11,dst1,A5,6
610225_30,0509Z3,E12,dst1,A5,8
610225_31,0509Z3,F01,dst1,A5,9
610225_32,0509Z3,F02,dst1,A5,5
610225_33,0509Z3,F03,dst1,A5,5
610225_34,0509Z3,F04,dst1,A5,4
610225_35,0509Z3,F05,dst1,A5,7
610225_36,0509Z3,F06,dst1,A5,5
610225_37,0509Z3,F07,dst1,A5,5
610225_38,0509Z3,F08,dst1,A5,4
610225_39,0509Z3,F09,dst1,A5,6
610225_40,0509Z3,F10,dst1,A5,5
610225_40,0509Z3,F10,dst1,B5,80
610225_39,0509Z3,F09,dst1,C5,80
610225_39,0509Z3,F09,dst1,D5,6
610225_40,0509Z3,F10,dst1,D5,5
610225_41,0509Z3,F11,dst1,D5,7
610225_42,0509Z3,F12,dst1,D5,6
610225_43,0509Z3,G01,dst1,D5,8
610225_44,0509Z3,G02,dst1,D5,4
610225_45,0509Z3,G03,dst1,D5,9
610225_46,0509Z3,G04,dst1,D5,3
610225_47,0509Z3,G05,dst1,D5,6
610225_48,0509Z3,G06,dst1,D5,6
610225_49,0509Z3,G07,dst1,D5,4
610225_50,0509Z3,G08,dst1,D5,3
610225_51,0509Z3,G09,dst1,D5,5
610225_52,0509Z3,G10,dst1,D5,6
610225_52,0509Z3,G10,dst1,A6,80
