primerLabel,srcLabel,srcWell,dstLabel,dstWell,volume,,dst1
505461_42,1030H1,G01,dst2,8,17
505461_43,1030H1,G02,dst2,8,9
505461_44,1030H1,G03,dst2,8,13
505461_45,1030H1,G04,dst2,8,8
505461_46,1030H1,G05,dst2,8,8
505461_47,1030H1,G06,dst2,8,8
505461_48,1030H1,G07,dst2,8,9
505461_49,1030H1,G08,dst2,8,8
505461_50,1030H1,G09,dst2,8,11
505461_50,1030H1,G09,dst2,9,110
505506_1,1030H1,G10,dst2,10,50
505506_1,1030H1,G10,dst2,11,5
505506_2,1030H1,G11,dst2,11,9
505506_3,1030H1,G12,dst2,11,10
505506_4,1030H1,H01,dst2,11,12
505506_5,1030H1,H02,dst2,11,7
505506_6,1030H1,H03,dst2,11,11
505506_7,1030H1,H04,dst2,11,7
505506_8,1030H1,H05,dst2,11,9
505506_9,1030H1,H06,dst2,11,10
505506_10,1030H1,H07,dst2,11,9
505506_11,1030H1,H08,dst2,11,8
505506_12,1030H1,H09,dst2,11,10
505506_13,1030H1,H10,dst2,11,9
505506_14,1030H1,H11,dst2,11,6
505506_14,1030H1,H11,dst2,12,60
505506_15,1030H1,H12,dst2,13,80
505506_15,1030H1,H12,dst2,14,8
505506_16,1030H2,A01,dst2,14,90
505506_16,1030H2,A01,dst2,15,9
505506_17,1030H2,A02,dst2,15,11
505506_18,1030H2,A03,dst2,15,8
505506_19,1030H2,A04,dst2,15,7
505506_20,1030H2,A05,dst2,15,10
505506_21,1030H2,A06,dst2,15,11
505506_22,1030H2,A07,dst2,15,12
505506_23,1030H2,A08,dst2,15,7
505506_24,1030H2,A09,dst2,15,9
505506_25,1030H2,A10,dst2,15,11
505506_26,1030H2,A11,dst2,15,8
505506_27,1030H2,A12,dst2,15,9
505506_28,1030H2,B01,dst2,15,8
505506_29,1030H2,B02,dst2,15,6
505506_30,1030H2,B03,dst2,15,8
505506_31,1030H2,B04,dst2,15,9
505506_32,1030H2,B05,dst2,15,6
505619_1,1030H2,B06,dst2,15,100
505619_1,1030H2,B06,dst2,16,10
505619_2,1030H2,B07,dst2,16,7
505619_3,1030H2,B08,dst2,16,9
505619_4,1030H2,B09,dst2,16,7
505619_5,1030H2,B10,dst2,16,8
505619_6,1030H2,B11,dst2,16,12
505619_7,1030H2,B12,dst2,16,7
505619_8,1030H2,C01,dst2,16,9
505619_9,1030H2,C02,dst2,16,6
505619_10,1030H2,C03,dst2,16,9
505619_10,1030H2,C03,dst3,1,90
505621_1,1030H2,C04,dst3,2,80
505621_1,1030H2,C04,dst3,3,8
505621_2,1030H2,C05,dst3,3,6
505621_3,1030H2,C06,dst3,3,8
505621_4,1030H2,C07,dst3,3,12
505621_5,1030H2,C08,dst3,3,7
505621_6,1030H2,C09,dst3,3,9
505621_7,1030H2,C10,dst3,3,10
505621_8,1030H2,C11,dst3,3,7
505621_9,1030H2,C12,dst3,3,8
505621_10,1030H2,D01,dst3,3,6
505621_11,1030H2,D02,dst3,3,8
505621_12,1030H2,D03,dst3,3,11
505621_13,1030H2,D04,dst3,3,8
505621_14,1030H2,D05,dst3,3,7
505621_15,1030H2,D06,dst3,3,10
505621_16,1030H2,D07,dst3,3,10
505621_16,1030H2,D07,dst3,4,100
505621_15,1030H2,D06,dst3,5,100
505621_15,1030H2,D06,dst3,6,10
505621_16,1030H2,D07,dst3,6,10
505621_17,1030H2,D08,dst3,6,7
505621_18,1030H2,D09,dst3,6,8
505621_19,1030H2,D10,dst3,6,12
505621_20,1030H2,D11,dst3,6,8
505621_21,1030H2,D12,dst3,6,7
