                CONFIDENTIAL     6,,,,,,,,,,,,,,,,,,,,,,,,,,,
190??5ul OD???,,,,,,??/Code?GS-SOP-POLG010D-04,,,,,,,,,,,,,,,,,,,,,
,,,,,,???/Supersedes: GS-Q4-POLG010-04,,,,,??/Page?1/1,,,,,,,,,,,,,,,,
??/Prepared by????,,,??/Approved by????,,,????/Effective date?07242014,,,,,,,,,,,,,,,,,,,,,
SPECTRA MAX 190 ?? OD???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PlateNo.(??):,,,,??,,nmol Values(nmol),,,,,,,,,,,,,,,,,,
,,,1113P2,,,,??,4,??5.5?????,,,,,,,,,,,,,,,,,,
,,,,,,,Volume,150,,,,,,,,,,,,,,,,,,,
???,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,0.6,,,,,,,,,,,
A,0.1275,0.1251,0.1475,0.1127,0.0999,0.1392,0.0943,0.1353,0.134,0.1007,0.115,0.129,0.121683333,,,90.69%,88.98%,98.96%,75.61%,67.03%,93.39%,65.14%,90.78%,89.90%,67.56%,77.16%,86.55%
B,0.1277,0.1425,0.1356,0.1405,0.1403,0.1537,0.1175,0.1445,0.1177,0.1289,0.118,0.1003,0.1306,,,85.68%,95.61%,95.05%,94.26%,95.52%,103.12%,78.83%,96.95%,78.97%,86.48%,79.17%,67.29%
C,0.1135,0.1362,0.1354,0.1584,0.1076,0.1346,0.1397,0.132,0.1165,0.1001,0.0959,0.0951,0.122083333,,,76.15%,91.38%,90.84%,106.27%,72.19%,80.35%,89.71%,84.77%,74.81%,66.19%,69.21%,61.07%
D,0.1082,0.1127,0.0984,0.1088,0.102,0.1173,0.1122,0.1218,0.1156,0.1063,0.1071,0.0939,0.108691667,,,74.75%,67.28%,74.20%,83.25%,70.46%,75.33%,76.38%,78.22%,74.24%,68.26%,71.86%,66.79%
E,0.0874,0.0782,0.0862,0.0923,0.0786,0.0959,0.0821,0.0787,0.0865,0.0758,0.0911,0.0954,0.085683333,,,59.50%,52.47%,57.83%,61.93%,52.73%,64.34%,55.08%,52.80%,58.03%,51.60%,61.12%,64.01%
