0405D1,A1,dst1,1,20,B587302
0405D1,B1,dst1,2,3,B587303
0405D1,C1,dst1,2,7,B587304
0405D1,D1,dst1,2,12,B587305
0405D1,E1,dst1,2,3,B587306
0405D1,F1,dst1,2,4,B587307
0405D1,G1,dst1,2,5,B587308
0405D1,H1,dst1,2,4,B587309
0405D1,I1,dst1,2,3,B587310
0405D1,J1,dst1,2,7,B587311
0405D1,K1,dst1,2,13,B587312
0405D1,L1,dst1,2,7,B587313
0405D1,M1,dst1,4,3,B587314
0405D1,N1,dst1,5,5,B587315
0405D1,O1,dst1,6,6,B587316
0405D1,P1,dst1,7,2,B587317
0405D1,A2,dst1,8,9,B587318
0405D1,B2,dst1,9,4,B587319
0405D1,C2,dst1,10,5,B587320
0405D1,D2,dst1,11,4,B587321
0405D1,E2,dst1,12,4,B587322
0405D1,F2,dst1,13,4,B587323
0405D1,G2,dst1,14,20,B588279
0405D1,H2,dst1,15,5,B588280
0405D1,I2,dst1,15,2,B588281
0405D1,J2,dst1,15,5,B588282
0405D1,K2,dst1,15,7,B588283
0405D1,L2,dst1,15,6,B588284
0405D1,M2,dst1,15,9,B588285
0405D1,N2,dst1,15,8,B588286
0405D1,O2,dst2,2,6,B588287
0405D1,P2,dst2,2,5,B588288
0405D1,A3,dst2,2,3,B588289
0405D1,B3,dst2,2,6,B588290
0405D1,C3,dst2,2,8,B588291
0405D1,D3,dst2,2,4,B588292
0405D1,E3,dst2,5,3,B588293
0405D1,F3,dst2,5,4,B588294
0405D1,G3,dst2,5,1,B588295
0405D1,H3,dst2,5,2,B588296
0405D1,I3,dst2,5,3,B588297
0405D1,J3,dst2,5,5,B588298
0405D1,K3,dst2,5,5,B588299
0405D1,L3,dst2,5,13,B588300
0405D1,M3,dst2,5,2,B588301
0405D1,N3,dst2,5,8,B588302
0405D1,O3,dst2,5,4,B588303
0405D1,P3,dst2,5,4,B588304
0405D1,A4,dst2,7,2,B588305
0405D1,B4,dst2,8,1,B588306
0405D1,C4,dst2,9,3,B588307
0405D1,D4,dst2,10,2,B588308
0405D1,E4,dst2,11,4,B588309
0405D1,F4,dst2,12,7,B588310
0405D1,G4,dst2,13,20,B587168
0405D1,H4,dst2,14,2,B587169
0405D1,I4,dst2,14,3,B587170
0405D1,J4,dst2,14,8,B587171
0405D1,K4,dst2,14,4,B587172
