primerLabel,srcLabel,srcWell,dstLabel,dstWell,volume,,Start
B546848,0317A1,A01,Start,A1,50,,,1,2,3,4,5,6,7,8,9,10,11,12
B546848,0317A1,A01,Mix,A1,5,,A,B546848,B546766,B546945,
B546849,0317A1,B01,Mix,A1,6,,B,B546637,B546774,B546899,
B546850,0317A1,C01,Mix,A1,11,,C,B546586,B546806,B546856,
B546851,0317A1,D01,Mix,A1,4,,D,B546671,B546812,B546864,
B546852,0317A1,E01,Mix,A1,5,,E,B546682,B546820,
B546853,0317A1,F01,Mix,A1,5,,F,B546742,B546826,
B546854,0317A1,G01,Mix,A1,4,,G,B546750,B546834,
B546855,0317A1,H01,Mix,A1,4,,H,B546758,B546840,
B546855,0317A1,H01,End,A1,50
B546637,0317A1,A02,Start,B1,50,,Mix
B546637,0317A1,A02,Mix,B1,29,,,1,2,3,4,5,6,7,8,9,10,11,12
B546638,0317A1,B02,Mix,B1,13,,A,B546848-B546855,B546766-B546773,B546898-B546951,
B546639,0317A1,C02,Mix,B1,4,,B,B546631-B546646,B546774-B546779,B546899-B546908,
B546640,0317A1,D02,Mix,B1,3,,C,B546586-B546593,B546806-B546813,B546856-B546865,
B546641,0317A1,E02,Mix,B1,6,,D,B546671-B546676,B546812-B546819,B546864-B546871,
B546642,0317A1,F02,Mix,B1,12,,E,B546682-B546689,B546820-B546827,
B546643,0317A1,G02,Mix,B1,17,,F,B546742-B546749,B546826-B546833,
B546644,0317A1,H02,Mix,B1,2,,G,B546750-B546757,B546834-B546841,
B546645,0317A1,A03,Mix,B1,12,,H,B546758-B546765,B546840-B546847,
B546646,0317A1,B03,Mix,B1,4
B546631,0317A1,C03,Mix,B1,4,,End
B546632,0317A1,D03,Mix,B1,5,,,1,2,3,4,5,6,7,8,9,10,11,12
B546633,0317A1,E03,Mix,B1,21,,A,B546855,B546773,B546900,
B546634,0317A1,F03,Mix,B1,6,,B,B546636,B546779,B546908,
B546635,0317A1,G03,Mix,B1,4,,C,B546593,B546813,B546865,
B546636,0317A1,H03,Mix,B1,11,,D,B546676,B546819,B546871,
B546636,0317A1,H03,End,B1,50,,E,B546689,B546827,
B546586,0317A1,A04,Start,C1,50,,F,B546749,B546833,
B546586,0317A1,A04,Mix,C1,8,,G,B546757,B546841,
B546587,0317A1,B04,Mix,C1,4,,H,B546765,B546847,
B546588,0317A1,C04,Mix,C1,5
B546589,0317A1,D04,Mix,C1,5,,,dst1,dst2,dst3,
B546590,0317A1,E04,Mix,C1,6,,1,B546848,B546766,B546945,
B546591,0317A1,F04,Mix,C1,9,,2,B546855,B546773,B546900,
B546592,0317A1,G04,Mix,C1,6,,3,B546637,B546774,B546899,
B546593,0317A1,H04,Mix,C1,7,,4,B546636,B546779,B546908,
B546593,0317A1,H04,End,C1,50,,5,B546586,B546806,B546856,
B546671,0317A1,G05,Start,D1,50,,6,B546593,B546813,B546865,
B546671,0317A1,G05,Mix,D1,4,,7,B546671,B546812,B546864,
B546672,0317A1,H05,Mix,D1,7,,8,B546676,B546819,B546871,
B546673,0317A1,A06,Mix,D1,9,,9,B546682,B546820,
B546674,0317A1,B06,Mix,D1,10,,10,B546689,B546827,
B546675,0317A1,C06,Mix,D1,9,,11,B546742,B546826,
B546676,0317A1,D06,Mix,D1,129,,12,B546749,B546833,
B546676,0317A1,D06,End,D1,50,,13,B546750,B546834,
B546682,0317A1,E06,Start,E1,50,,14,B546757,B546841,
B546682,0317A1,E06,Mix,E1,4,,15,B546758,B546840,
B546683,0317A1,F06,Mix,E1,6,,16,B546765,B546847,
B546684,0317A1,G06,Mix,E1,3
B546685,0317A1,H06,Mix,E1,5
B546686,0317A1,A07,Mix,E1,5
B546687,0317A1,B07,Mix,E1,5
B546688,0317A1,C07,Mix,E1,5
B546689,0317A1,D07,Mix,E1,5
B546689,0317A1,D07,End,E1,50
B546742,0317A1,E07,Start,F1,50
B546742,0317A1,E07,Mix,F1,5
B546743,0317A1,F07,Mix,F1,8
B546744,0317A1,G07,Mix,F1,4
B546745,0317A1,H07,Mix,F1,4
B546746,0317A1,A08,Mix,F1,5
B546747,0317A1,B08,Mix,F1,4
B546748,0317A1,C08,Mix,F1,4
B546749,0317A1,D08,Mix,F1,5
B546749,0317A1,D08,End,F1,50
B546750,0317A1,E08,Start,G1,50
B546750,0317A1,E08,Mix,G1,5
B546751,0317A1,F08,Mix,G1,6
B546752,0317A1,G08,Mix,G1,3
B546753,0317A1,H08,Mix,G1,9
B546754,0317A1,A09,Mix,G1,7
B546755,0317A1,B09,Mix,G1,5
B546756,0317A1,C09,Mix,G1,5
B546757,0317A1,D09,Mix,G1,4
B546757,0317A1,D09,End,G1,50
B546758,0317A1,E09,Start,H1,50
B546758,0317A1,E09,Mix,H1,6
B546759,0317A1,F09,Mix,H1,5
B546760,0317A1,G09,Mix,H1,4
B546761,0317A1,H09,Mix,H1,10
B546762,0317A1,A10,Mix,H1,6
B546763,0317A1,B10,Mix,H1,6
B546764,0317A1,C10,Mix,H1,5
B546765,0317A1,D10,Mix,H1,4
B546765,0317A1,D10,End,H1,50
B546766,0317A1,E10,Start,A2,50
B546766,0317A1,E10,Mix,A2,5
B546767,0317A1,F10,Mix,A2,7
B546768,0317A1,G10,Mix,A2,3
B546769,0317A1,H10,Mix,A2,7
B546770,0317A1,A11,Mix,A2,9
B546771,0317A1,B11,Mix,A2,3
B546772,0317A1,C11,Mix,A2,16
B546773,0317A1,D11,Mix,A2,4
B546773,0317A1,D11,End,A2,50
B546774,0317A1,E11,Start,B2,50
